"comparison","gene_id"
"1dpa_vs_0dpa","ENSDARG00000013681"
"1dpa_vs_0dpa","ENSDARG00000013687"
"1dpa_vs_0dpa","ENSDARG00000013694"
"1dpa_vs_0dpa","ENSDARG00000013705"
"1dpa_vs_0dpa","ENSDARG00000013719"
"1dpa_vs_0dpa","ENSDARG00000013749"
"1dpa_vs_0dpa","ENSDARG00000013804"
"1dpa_vs_0dpa","ENSDARG00000013838"
"1dpa_vs_0dpa","ENSDARG00000013841"
"1dpa_vs_0dpa","ENSDARG00000013860"
"1dpa_vs_0dpa","ENSDARG00000013892"
"1dpa_vs_0dpa","ENSDARG00000013926"
"1dpa_vs_0dpa","ENSDARG00000013928"
"1dpa_vs_0dpa","ENSDARG00000013946"
"1dpa_vs_0dpa","ENSDARG00000013968"
"1dpa_vs_0dpa","ENSDARG00000013979"
"1dpa_vs_0dpa","ENSDARG00000014024"
"1dpa_vs_0dpa","ENSDARG00000014047"
"1dpa_vs_0dpa","ENSDARG00000014053"
"1dpa_vs_0dpa","ENSDARG00000014137"
"1dpa_vs_0dpa","ENSDARG00000014139"
"1dpa_vs_0dpa","ENSDARG00000014248"
"1dpa_vs_0dpa","ENSDARG00000014303"
"1dpa_vs_0dpa","ENSDARG00000014313"
"1dpa_vs_0dpa","ENSDARG00000014329"
"1dpa_vs_0dpa","ENSDARG00000014488"
"1dpa_vs_0dpa","ENSDARG00000014498"
"1dpa_vs_0dpa","ENSDARG00000014506"
"1dpa_vs_0dpa","ENSDARG00000014554"
"1dpa_vs_0dpa","ENSDARG00000014571"
"1dpa_vs_0dpa","ENSDARG00000014591"
"1dpa_vs_0dpa","ENSDARG00000014646"
"1dpa_vs_0dpa","ENSDARG00000014680"
"1dpa_vs_0dpa","ENSDARG00000014682"
"1dpa_vs_0dpa","ENSDARG00000014685"
"1dpa_vs_0dpa","ENSDARG00000014717"
"1dpa_vs_0dpa","ENSDARG00000014731"
"1dpa_vs_0dpa","ENSDARG00000014763"
"1dpa_vs_0dpa","ENSDARG00000014796"
"1dpa_vs_0dpa","ENSDARG00000014915"
"1dpa_vs_0dpa","ENSDARG00000014943"
"1dpa_vs_0dpa","ENSDARG00000014963"
"1dpa_vs_0dpa","ENSDARG00000014975"
"1dpa_vs_0dpa","ENSDARG00000015016"
"1dpa_vs_0dpa","ENSDARG00000015025"
"1dpa_vs_0dpa","ENSDARG00000015123"
"1dpa_vs_0dpa","ENSDARG00000015128"
"1dpa_vs_0dpa","ENSDARG00000015156"
"1dpa_vs_0dpa","ENSDARG00000015164"
"1dpa_vs_0dpa","ENSDARG00000015199"
"1dpa_vs_0dpa","ENSDARG00000015208"
"1dpa_vs_0dpa","ENSDARG00000015224"
"1dpa_vs_0dpa","ENSDARG00000015273"
"1dpa_vs_0dpa","ENSDARG00000015385"
"1dpa_vs_0dpa","ENSDARG00000015460"
"1dpa_vs_0dpa","ENSDARG00000015495"
"1dpa_vs_0dpa","ENSDARG00000015538"
"1dpa_vs_0dpa","ENSDARG00000015628"
"1dpa_vs_0dpa","ENSDARG00000015638"
"1dpa_vs_0dpa","ENSDARG00000015765"
"1dpa_vs_0dpa","ENSDARG00000015790"
"1dpa_vs_0dpa","ENSDARG00000015824"
"1dpa_vs_0dpa","ENSDARG00000015860"
"1dpa_vs_0dpa","ENSDARG00000015862"
"1dpa_vs_0dpa","ENSDARG00000015887"
"1dpa_vs_0dpa","ENSDARG00000015922"
"1dpa_vs_0dpa","ENSDARG00000015946"
"1dpa_vs_0dpa","ENSDARG00000015947"
"1dpa_vs_0dpa","ENSDARG00000015964"
"1dpa_vs_0dpa","ENSDARG00000015966"
"1dpa_vs_0dpa","ENSDARG00000015998"
"1dpa_vs_0dpa","ENSDARG00000016089"
"1dpa_vs_0dpa","ENSDARG00000016143"
"1dpa_vs_0dpa","ENSDARG00000016212"
"1dpa_vs_0dpa","ENSDARG00000016238"
"1dpa_vs_0dpa","ENSDARG00000016280"
"1dpa_vs_0dpa","ENSDARG00000016350"
"1dpa_vs_0dpa","ENSDARG00000016368"
"1dpa_vs_0dpa","ENSDARG00000016393"
"1dpa_vs_0dpa","ENSDARG00000016477"
"1dpa_vs_0dpa","ENSDARG00000016551"
"1dpa_vs_0dpa","ENSDARG00000016623"
"1dpa_vs_0dpa","ENSDARG00000016710"
"1dpa_vs_0dpa","ENSDARG00000016721"
"1dpa_vs_0dpa","ENSDARG00000016730"
"1dpa_vs_0dpa","ENSDARG00000016775"
"1dpa_vs_0dpa","ENSDARG00000016782"
