"comparison","ensembl_id","gene_symbol"
"1dpa_vs_0dpa","ENSDARG00000015495","klf3"
"1dpa_vs_0dpa","ENSDARG00000015538","znf207a"
"1dpa_vs_0dpa","ENSDARG00000015628","psmd10"
"1dpa_vs_0dpa","ENSDARG00000015638","gemin2"
"1dpa_vs_0dpa","ENSDARG00000015765","iah1"
"1dpa_vs_0dpa","ENSDARG00000015790","atp1b3a"
"1dpa_vs_0dpa","ENSDARG00000015824","lemd3"
"1dpa_vs_0dpa","ENSDARG00000015860","mtmr9"
"1dpa_vs_0dpa","ENSDARG00000015862","rpl5b"
"1dpa_vs_0dpa","ENSDARG00000015887","b2ml"
"1dpa_vs_0dpa","ENSDARG00000015922","stk17al"
"1dpa_vs_0dpa","ENSDARG00000015946","slc44a1a"
"1dpa_vs_0dpa","ENSDARG00000015947","matn4"
"1dpa_vs_0dpa","ENSDARG00000015964","cldn33b"
"1dpa_vs_0dpa","ENSDARG00000015966","yaf2"
"1dpa_vs_0dpa","ENSDARG00000015998","wdhd1"
"1dpa_vs_0dpa","ENSDARG00000016089","bicral"
"1dpa_vs_0dpa","ENSDARG00000016143","xiap"
"1dpa_vs_0dpa","ENSDARG00000016212","nup214"
"1dpa_vs_0dpa","ENSDARG00000016238","arl6ip5b"
"1dpa_vs_0dpa","ENSDARG00000016280","eif1ad"
"1dpa_vs_0dpa","ENSDARG00000016350","cap1"
"1dpa_vs_0dpa","ENSDARG00000016368","zbtb8os"
"1dpa_vs_0dpa","ENSDARG00000016393","arf2b"
"1dpa_vs_0dpa","ENSDARG00000016477","eif4a2"
"1dpa_vs_0dpa","ENSDARG00000016551","iqsec1b"
"1dpa_vs_0dpa","ENSDARG00000016623","si:ch211-195b13.1"
"1dpa_vs_0dpa","ENSDARG00000016710","rchy1"
"1dpa_vs_0dpa","ENSDARG00000016721","sdha"
"1dpa_vs_0dpa","ENSDARG00000016730","rfxank"
"1dpa_vs_0dpa","ENSDARG00000016775","aqr"
"1dpa_vs_0dpa","ENSDARG00000016782","huwe1"
"1dpa_vs_0dpa","ENSDARG00000016837","glipr2l"
"1dpa_vs_0dpa","ENSDARG00000016855","sf3b5"
"1dpa_vs_0dpa","ENSDARG00000016856","pon2"
"1dpa_vs_0dpa","ENSDARG00000016864","farsb"
"1dpa_vs_0dpa","ENSDARG00000017014","ywhae2"
"1dpa_vs_0dpa","ENSDARG00000017034","sqor"
"1dpa_vs_0dpa","ENSDARG00000017036","svilc"
"1dpa_vs_0dpa","ENSDARG00000017105","vaspb"
"1dpa_vs_0dpa","ENSDARG00000017126","ilvbl"
"1dpa_vs_0dpa","ENSDARG00000017128","myofl"
"1dpa_vs_0dpa","ENSDARG00000017155","wnt10a"
"1dpa_vs_0dpa","ENSDARG00000017174","dlx2b"
"1dpa_vs_0dpa","ENSDARG00000017180","npc1"
"1dpa_vs_0dpa","ENSDARG00000017316","bag5"
"1dpa_vs_0dpa","ENSDARG00000017320","f11r.1"
"1dpa_vs_0dpa","ENSDARG00000017337","zgc:77929"
"1dpa_vs_0dpa","ENSDARG00000017354","epha2a"
"1dpa_vs_0dpa","ENSDARG00000017388","gstt1b"
"1dpa_vs_0dpa","ENSDARG00000017397","smarcc1a"
"1dpa_vs_0dpa","ENSDARG00000017422","apmap"
"1dpa_vs_0dpa","ENSDARG00000017489","ifi27.1"
"1dpa_vs_0dpa","ENSDARG00000017494","tgfbr1a"
"1dpa_vs_0dpa","ENSDARG00000017569","reep3a"
"1dpa_vs_0dpa","ENSDARG00000017591","fat1a"
"1dpa_vs_0dpa","ENSDARG00000017602","ccng2"
"1dpa_vs_0dpa","ENSDARG00000017612","pnpo"
"1dpa_vs_0dpa","ENSDARG00000017653","rgs13a"
"1dpa_vs_0dpa","ENSDARG00000017657","zgc:112163"
"1dpa_vs_0dpa","ENSDARG00000017665","snrkb"
"1dpa_vs_0dpa","ENSDARG00000017676","mmp2"
"1dpa_vs_0dpa","ENSDARG00000017710","ppp1r14ab"
"1dpa_vs_0dpa","ENSDARG00000017748","arhgap29b"
"1dpa_vs_0dpa","ENSDARG00000017835","brf1a"
"1dpa_vs_0dpa","ENSDARG00000017860","rgs5b"
"1dpa_vs_0dpa","ENSDARG00000017884","bgna"
"1dpa_vs_0dpa","ENSDARG00000017901","tln2a"
"1dpa_vs_0dpa","ENSDARG00000018002","eci1"
"1dpa_vs_0dpa","ENSDARG00000018060","pik3r2"
"1dpa_vs_0dpa","ENSDARG00000018061","neil1"
"1dpa_vs_0dpa","ENSDARG00000018145","mid1ip1l"
"1dpa_vs_0dpa","ENSDARG00000018149","slc38a4"
"1dpa_vs_0dpa","ENSDARG00000018165","depdc1a"
"1dpa_vs_0dpa","ENSDARG00000018192","ubr5"
"1dpa_vs_0dpa","ENSDARG00000018228","htr2cl1"
"1dpa_vs_0dpa","ENSDARG00000018283","cyba"
"1dpa_vs_0dpa","ENSDARG00000018303","etv4"
"1dpa_vs_0dpa","ENSDARG00000018334","rpl35"
"1dpa_vs_0dpa","ENSDARG00000018404","krt18a.1"
"1dpa_vs_0dpa","ENSDARG00000018491","pdia4"
"1dpa_vs_0dpa","ENSDARG00000018529","lipf"
"1dpa_vs_0dpa","ENSDARG00000018574","sf3b4"
"1dpa_vs_0dpa","ENSDARG00000018616","agtr1a"
"1dpa_vs_0dpa","ENSDARG00000018637","sec61g"
