"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSDARG00000079802",19.0845553666311,-0.376559454982554,0.868963927891101,-0.433343022530786,0.664765587216608,0.853392822589321,"aanat2"
"ENSDARG00000079808",38.262570152684,-0.271546109625061,0.638047360905426,-0.425589268545397,0.670407161363218,0.857419868891687,"si:ch73-208g10.1"
"ENSDARG00000079811",38.7727391406525,0.432348386076945,0.62689462402054,0.68966676297862,0.490403771976716,0.742261606967564,"micall1a"
"ENSDARG00000079815",93.2255621617241,-1.52784300679674,0.754552935436594,-2.0248321026181,0.042884607449885,0.196888718728822,"lyrm7"
"ENSDARG00000079823",333.672919303908,-1.63605416738816,0.517390144366827,-3.16212858942323,0.00156620386673686,0.0275499180827454,"kgd4"
"ENSDARG00000079834",73.0936482599953,0.45953311191073,0.501358216466783,0.916576405487465,0.359364652913956,0.639205632967522,"kdf1a"
"ENSDARG00000079835",29.2527047616359,0.692966108989614,0.675463328634812,1.02591225846439,0.304932943934306,0.587047962942569,"man2c1"
"ENSDARG00000079848",196.233435544198,-0.118999189019351,0.423773424929956,-0.28080852176849,0.778857267089769,0.913926699427933,"gmps"
"ENSDARG00000079850",194.384202741175,0.635054313805247,0.471063126371476,1.34812996019656,0.177616586746226,0.440836897596021,"dchs1b"
"ENSDARG00000079854",66.2189465713009,0.192575159604285,0.562113756184436,0.342591081405769,0.731906112486254,0.888415174816253,"scyl1"
"ENSDARG00000079869",22.8138220414745,-0.0380197045001758,0.774898267464844,-0.0490641237649956,0.960868194044163,0.988318057807706,"si:ch211-218o21.4"
"ENSDARG00000079886",24.9004802926583,-2.12391285718465,0.851919550980238,-2.49309087312391,0.0126636431284591,0.0972798040322537,"otulinb"
"ENSDARG00000079889",51.5809306440925,1.22314815651617,0.920397674659098,1.32893442714228,0.18386960447065,0.448633956051761,"phldb2a"
"ENSDARG00000079895",56.1467571379893,-0.943116339682006,0.591437423129846,-1.59461728798137,0.110797844248307,0.33331726420891,"ehbp1l1b"
"ENSDARG00000079900",51.9130048510527,0.775970879132556,0.589383631823959,1.31658030056106,0.187979345581223,0.454658015009946,"shroom4"
"ENSDARG00000079905",323.493117998873,-0.0180553354802864,0.677337188871728,-0.0266563474985952,0.978733830397929,0.993240754761534,"mark2a"
"ENSDARG00000079912",76.1798495529374,0.362224991440919,0.604257126682853,0.599455058857807,0.548869470452849,0.781598444733318,"rapgefl1"
"ENSDARG00000079922",258.465841155973,-0.0549212200002603,0.561946418688136,-0.0977339087389753,0.922143589160956,0.974768385234866,"klf4"
"ENSDARG00000079926",22.3104594392912,-0.169592307262634,0.852186293287039,-0.19900848980859,0.842256103518733,0.94249947515536,"syt15"
"ENSDARG00000079931",28.471116698331,1.03741989255533,0.679500132252101,1.52673979490918,0.126825727660975,0.360914127237873,"snx19b"
"ENSDARG00000079932",985.364765017342,0.116136489095004,0.43170222796773,0.269019897445804,0.787914370972648,0.917485539092906,"zgc:152830"
"ENSDARG00000079933",36.6383767592117,0.250165939577919,0.68055731837135,0.367589816206215,0.713179109467897,0.880086356456779,"si:dkey-5g14.1"
"ENSDARG00000079934",69.5082818575008,1.13433947327932,0.550722115791165,2.05973110712965,0.0394242538690469,0.188117660259344,"zgc:162200"
"ENSDARG00000079939",385.014139325156,0.50898498307097,0.394161643134436,1.29131028332296,0.196596106236317,0.465960343398025,"jmjd1cb"
"ENSDARG00000079946",109.727376413439,-1.22159104980544,0.570253600913554,-2.14218910296828,0.0321782680358049,0.166904450872584,"sqlea"
"ENSDARG00000079949",167.769669862443,0.380175567654127,0.44457606488258,0.855141780416221,0.392472662159988,0.666058654500406,"supt16h"
"ENSDARG00000079964",112.33739022603,1.56513827810453,0.455315018413881,3.43748441146701,0.000587144514852399,0.0147573119721317,"dlx2a"
"ENSDARG00000079967",76.7090857607005,0.918220858799572,0.493368231882217,1.86112684089231,0.0627262666151054,0.24465626221977,"prkd3"
